,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,40686190844.0,41857051367.0,33637768661.0,31885284177.0,28629903580.0,31205966330.0,27575777047.0,22577370257.0,23876936036.0,20760563949.0
1,TÀI SẢN NGẮN HẠN,12463009201.0,16203296374.0,11727716575.0,13557931262.0,13517369383.0,16903970465.0,15414587788.0,12817391966.0,16306572202.0,15216955450.0
2,Tiền và tương đương tiền,3007740497.0,1504345907.0,259609600.0,1778632725.0,2331394349.0,1015919291.0,1185754234.0,346317866.0,831577205.0,1328758268.0
3,Tiền,1007740497.0,1004345907.0,259609600.0,1778632725.0,2331394349.0,1015919291.0,1185754234.0,346317866.0,831577205.0,1328758268.0
4,Các khoản tương đương tiền,2000000000.0,500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Các khoản phải thu,1089310826.0,1909510300.0,4923652406.0,590635949.0,422861998.0,1983287786.0,3052197853.0,2685462285.0,2903713619.0,3941396732.0
10,Phải thu khách hàng,2992406510.0,3753660329.0,3645953316.0,2986884379.0,2901877669.0,4770073710.0,5832547608.0,5413768880.0,5322888035.0,6600471506.0
11,Trả trước người bán,169821595.0,242775134.0,154017039.0,112000000.0,110000000.0,143000000.0,143000000.0,110000000.0,136000000.0,110000000.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Phải thu khác,0.0,10347441.0,3570516991.0,228046116.0,216202328.0,206072888.0,212509057.0,297552217.0,580684396.0,797650345.0
16,Dự phòng nợ khó đòi,-2072917279.0,-2097272604.0,-2446834940.0,-2736294546.0,-2805217999.0,-3135858812.0,-3135858812.0,-3135858812.0,-3135858812.0,-3566725119.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",8173039579.0,12495590988.0,6161808394.0,11188662588.0,10763113036.0,13768263388.0,11176635701.0,9785611815.0,12571281378.0,9946800450.0
19,Hàng tồn kho,8451175886.0,12591941307.0,6255575963.0,11232503783.0,11514046356.0,14578110842.0,12387512291.0,10075451621.0,12905761095.0,10285419625.0
20,Dự phòng giảm giá HTK,-278136307.0,-96350319.0,-93767569.0,-43841195.0,-750933320.0,-809847454.0,-1210876590.0,-289839806.0,-334479717.0,-338619175.0
21,Tài sản lưu động khác,192918299.0,293849179.0,382646175.0,0.0,0.0,136500000.0,0.0,0.0,0.0,0.0
22,Trả trước ngắn hạn,0.0,0.0,382646175.0,0.0,0.0,136500000.0,0.0,0.0,0.0,0.0
23,Thuế VAT phải thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Phải thu thuế khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Tài sản lưu động khác,192918299.0,293849179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,28223181643.0,25653754993.0,21910052086.0,18327352915.0,15112534197.0,14301995865.0,12161189259.0,9759978291.0,7570363834.0,5543608499.0
28,Phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,25513181643.0,24504362582.0,20602685815.0,17836680631.0,15112534197.0,14222582532.0,12161189259.0,9759978291.0,7436952615.0,5543608499.0
37,GTCL TSCĐ hữu hình,23866443804.0,23744289761.0,20602685815.0,17836680631.0,15112534197.0,14222582532.0,12161189259.0,9759978291.0,7436952615.0,5543608499.0
38,Nguyên giá TSCĐ hữu hình,58827587595.0,61553344150.0,61611344150.0,61686944150.0,61802944150.0,63486400230.0,63824900230.0,63824900230.0,63824900230.0,62331623486.0
39,Khấu hao lũy kế TSCĐ hữu hình,-34961143791.0,-37809054389.0,-41008658335.0,-43850263519.0,-46690409953.0,-49263817698.0,-51663710971.0,-54064921939.0,-56387947615.0,-56788014987.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,1250000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Nguyên giá TSCĐ vô hình,3000000000.0,3000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Khấu hao lũy kế TSCĐ vô hình,-1750000000.0,-3000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Bất động sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Nguyên giá tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Khấu hao lũy kế tài sản đầu tư,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tài sản dở dang dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Đầu tư dài hạn,2710000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Đầu tư dài hạn khác,2710000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Dự phòng giảm giá đầu tư dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
