,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,112917100578.0,182361096191.0,183877027001.0,239759443554.0,213266830018.0,235635257263.0,42322355360.0,245424729126.0,154227958637.0,304395976911.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,181779749842.0,176121923439.0,198750643480.0,171785130173.0,238090513740.0,283300619786.0,295674302011.0,313704945051.0,291546758284.0,331102447261.0
2,Lãi trước thuế,97399039053.0,95298500619.0,114844807644.0,84483318413.0,60149448868.0,68672085530.0,71582281046.0,64217864034.0,56101766116.0,73745518932.0
3,Khấu hao TSCĐ,108033520598.0,109083600090.0,120355788847.0,132279812921.0,170093593274.0,183948032261.0,193232413267.0,202310503724.0,203786034621.0,228223550898.0
5,Chi phí dự phòng,-3706157173.0,-397230942.0,-12762435213.0,-2791790480.0,-764442787.0,1995078900.0,-39999017.0,5586588332.0,-84485421.0,-3850420225.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,1090559186.0,1013550069.0,3504859148.0,700540066.0,1753459672.0,2710478110.0,-83035429.0,-32932836.0,-590206883.0,1462762994.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-30467786506.0,-38812204638.0,-37772852819.0,-59952758257.0,-26839322919.0,-24136633611.0,-20921925770.0,-19633261329.0,-25895065687.0,-34591505851.0
9,Chi phí lãi vay,9430574684.0,9935708241.0,10580475873.0,14110425518.0,33197777632.0,42611578596.0,51904567914.0,61256183126.0,58228715538.0,66112540513.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,2955581992.0,500000000.0,7500000000.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,9601895328.0,3400791967.0,49515817819.0,-13849584557.0,78236365142.0,-22385826316.0,-2262429517.0,-83059892115.0,98486345403.0,-64765835527.0
13,(Tăng)/giảm hàng tồn kho,-44181775674.0,20532291970.0,13491572946.0,-34914568273.0,-3692416920.0,-20382763237.0,41623486195.0,6561805706.0,-79765791.0,7115385088.0
14,Tăng/(giảm) các khoản phải trả,41411479409.0,18596494962.0,-6268236696.0,163012534042.0,-11452686034.0,46874791369.0,-173561251402.0,51534297268.0,-127412342441.0,122426873154.0
15,( Tăng)/giảm chi phí trả trước,-15793215939.0,6002976118.0,-24300983954.0,9037288052.0,-36235642986.0,5973133796.0,-37407602666.0,50369918591.0,-17840942933.0,-5983956051.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-9940932275.0,-10218588279.0,-10405889820.0,-14147035120.0,-31178139549.0,-41707073396.0,-44849687418.0,-64384652472.0,-57769709120.0,-65894695395.0
18,Thuế thu nhập doanh nghiệp đã trả,-33500000000.0,-21934278367.0,-26077451146.0,-28500000000.0,-6026318650.0,-10645665827.0,-19339793396.0,-15658388588.0,-15520699399.0,-3500000000.0
19,Tiền thu khác từ các hoạt động kinh doanh,25640000.0,219309000.0,2085170000.0,1048791000.0,2389732000.0,2567669675.0,1772960000.0,2279290000.0,2369510000.0,2513427143.0
20,Tiền chi khác từ các hoạt động kinh doanh,-16485740113.0,-10359824619.0,-12913615628.0,-13713111763.0,-16864576725.0,-7959628587.0,-19327628447.0,-15922594315.0,-19551195366.0,-18617668762.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,-251470359856.0,-268996245349.0,-200666409030.0,-480395507051.0,-200781989895.0,-146245925757.0,-273907189433.0,-44678057289.0,-478447979400.0,-75113640164.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-83959211839.0,-139433498488.0,-305605090111.0,-457537088002.0,-403454372258.0,-140575468435.0,-271821527149.0,-134520401274.0,-203403133323.0,-272909857713.0
23,Tiền thu được từ thanh lý tài sản cố định,4564278789.0,5349044590.0,44675500.0,25150402316.0,0.0,0.0,184720693.0,272651109.0,304609866.0,476619753.0
24,Tiền cho vay hoặc mua công cụ nợ,-202725000000.0,-368840000000.0,-394875000000.0,-382859000000.0,-184240877288.0,-267463168056.0,-202851882000.0,-160900000000.0,-557624790850.0,-473162209150.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,4600000000.0,203525000000.0,470163901389.0,302856111111.0,352792573756.0,238633627288.0,180078168056.0,229569882000.0,264282000000.0,633857000000.0
26,Đầu tư vào các doanh nghiệp khác,-826000000.0,-3000000000.0,-2000000000.0,-200000000.0,0.0,0.0,-1528140000.0,0.0,-2108840000.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,26875573194.0,33403208549.0,31605104192.0,32194067524.0,34120685895.0,23159083446.0,22031470967.0,20899810876.0,20102174907.0,36624806946.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-34546244799.0,27132558816.0,46209709351.0,120399905242.0,-3052621143.0,-23966859127.0,197028196580.0,-79817827972.0,210056387735.0,-109403262334.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,484472165226.0,1019309090201.0,1542806169662.0,2854623198069.0,3485547285191.0,3300285688932.0,1598600690993.0,1876731348031.0,1041216033239.0,343967112526.0
33,Tiển trả các khoản đi vay,-462949345925.0,-936104744985.0,-1452540056711.0,-2694172018227.0,-3452553832834.0,-3308232118559.0,-1381545783913.0,-1948539052403.0,-817143130004.0,-438991555790.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-56069064100.0,-56071786400.0,-44056403600.0,-40051274600.0,-36046073500.0,-16020429500.0,-20026710500.0,-8010123600.0,-14016515500.0,-14378819070.0
37,Lưu chuyển tiền thuần trong kỳ,-173099504077.0,-59502590342.0,29420327322.0,-120236158255.0,9432218980.0,65422472379.0,-34556637493.0,120928843865.0,-114163633028.0,119879074413.0
